SaleID,name,model,brand,bodyType,fuelType,gearbox,power,kilometer,notRepairedDamage,price,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,train,used_time,city,brand_amount,brand_price_max,brand_price_median,brand_price_min,brand_price_sum,brand_price_std,brand_price_average,power_bin
110044,25689,65.0,1,0.0,1.0,0.0,105,8.0,0.0,10750.0,47.27402519318539,-3.3180125601337496,0.5522741387168026,-1.6157692023225785,0.0545630047946078,0.2574714336454656,0.0006967015907584,0.1501296654580233,0.0926840427985486,0.061909470998034,1.7071479175841624,-2.914836923211405,3.017994063936853,-0.3132783312953999,0.1769651490920888,1,2348.0,2,281.0,35998.0,6700.0,169.0,2331406.0,7195.8967836200545,8267.4,10.0
80568,9055,19.0,5,3.0,0.0,0.0,121,0.5,MISSING,600.0,43.60967937308978,2.578209932985408,-1.3097769300726811,2.6080722326002697,-0.7341982027568993,0.2662354676864623,0.081825028251603,0.0698572320719628,0.0139740021183513,0.0484166024127147,-2.0216313962605774,1.1471974172085395,-3.105756704918228,-1.199020043675136,-0.5196097234390652,1,6998.0,1,98.0,18000.0,2550.0,150.0,408372.0,4466.457663301934,4124.97,12.0
66732,7621,106.0,6,3.0,MISSING,0.0,150,15.0,0.0,3200.0,44.369436239334895,-3.125162370204648,-1.056635812743466,-0.3996063600009997,0.5060740971263131,0.2576501075271959,0.0001884220483733,0.0527166036088965,0.0702439033436867,0.0786638342482765,2.474477119936552,-2.169128373169687,-0.040080112556837,0.6325025959271603,0.1092441788097461,1,4150.0,1,177.0,20750.0,1650.0,50.0,628211.0,4452.831329769173,3529.28,14.0
41186,1185,69.0,6,0.0,1.0,0.0,131,15.0,0.0,1900.0,44.06644737439343,4.644268724731722,-0.7345924009662976,0.0283111237123544,-0.43202923522064,0.2621967434583417,0.1096469512547324,0.038038115523226,0.0432296557415309,0.0478334914950534,-4.233670162828549,1.5434435763633312,-1.2048037090965042,0.1649075928782978,1.0128767406395849,1,5088.0,2,177.0,20750.0,1650.0,50.0,628211.0,4452.831329769173,3529.28,13.0
27505,45010,58.0,22,6.0,1.0,1.0,197,2.0,0.0,35900.0,49.21669770980753,5.661964101226789,0.4239262263626839,-4.228313121068536,1.877225158624912,0.2620104697284011,0.1267734568381065,0.0177965943728447,0.1067882549404362,0.1116422841042152,-7.377228675352888,-0.8644639861059914,4.201251943233664,2.040203906745536,-1.7199901584350363,1,377.0,7,19.0,35900.0,6750.0,990.0,222414.0,11222.454975034057,11120.7,19.0
55761,87729,26.0,14,0.0,0.0,0.0,75,15.0,0.0,1100.0,42.651821672552494,2.653057783169153,-1.5075522742088303,2.4167701856758828,0.1590094800850706,0.2572926465836912,0.0816488300251369,0.0417974166677198,0.0161921998418177,0.0733564202809193,-1.766272801460339,1.5137967104467631,-3.582147481054436,0.0098985431315082,-0.0514654304158122,1,6899.0,1,346.0,18600.0,1500.0,75.0,989051.0,3557.3328358419553,2850.29,7.0
93175,36945,201.0,28,6.0,0.0,0.0,136,10.0,0.0,5900.0,47.32291254400554,3.581852306586105,-0.6181533546712361,-1.5157584836383968,3.006145687062463,0.2533735159922422,0.0971426578672358,0.004900997897809,0.0757991274924722,0.1557552864285722,-4.66009367024196,-0.7910629662819609,1.251010756305332,2.212944346121596,-4.745238406362295,1,3142.0,2,13.0,11400.0,5900.0,2099.0,89978.0,3392.6496169037146,6427.0,13.0
76784,54663,188.0,13,0.0,1.0,0.0,120,0.5,0.0,12900.0,45.570096189696,-3.041945693375109,-0.2007724341709352,-3.239440469219552,2.0068579923922494,0.2445782339144505,0.0010233067237899,0.0413968233256214,0.1117676732343263,0.1152601340100654,1.7886241086816017,-2.8169512703771638,2.7234626948288256,2.6757148911178468,0.7419889104729579,1,1543.0,2,85.0,12900.0,1100.0,70.0,213932.0,2966.3203416333295,2487.58,11.0
102413,415,60.0,11,1.0,0.0,0.0,60,15.0,MISSING,250.0,42.638651997016005,5.249819673261044,-0.2829167604468851,1.4246972058816558,0.1258506898406577,0.2437933104478551,0.118327843825139,0.0866605488841302,0.0248996686396404,0.066241304333765,-3.9520904263184096,3.210548094838096,-2.519343387877186,0.3069787572282354,-0.7644817110297228,1,6605.0,3,60.0,25490.0,3550.0,250.0,320071.0,5334.080901853114,5247.07,5.0
140004,290,0.0,0,0.0,0.0,0.0,101,15.0,0.0,2000.0,44.21071358069102,4.425017048231196,-0.7372132263868013,1.6362660966898956,-1.110895371954376,0.2668113274071566,0.1080091161211423,0.0798502075259515,0.0227282564221838,0.0324183548544353,-3.9029573102802737,1.7682295997336803,-2.1098935681539697,-1.182827303445412,0.153855081975174,1,6546.0,1,634.0,37900.0,3100.0,80.0,3394599.0,5974.222482754452,5345.83,10.0
141727,1302,30.0,6,0.0,0.0,0.0,60,12.5,0.0,4500.0,44.13881126191625,5.224890791456269,-0.6393441186898208,0.8541298705021924,1.1286245332163771,0.2502623879214514,0.1187947201856767,0.0482029943266867,0.0347182036110504,0.0952596060431653,-4.613436047096476,2.105502606998896,-1.8370593637475896,1.2491047663387007,1.1969722894210086,1,2319.0,1,177.0,20750.0,1650.0,50.0,628211.0,4452.831329769173,3529.28,5.0
54986,153551,0.0,0,0.0,0.0,0.0,75,15.0,MISSING,900.0,43.58307433224486,1.5667579692888536,-1.1092666742578166,2.4755911303361784,-0.7713349950415742,0.2635839836134279,0.0676179773673921,0.0873633395655948,0.0187301763935664,0.0462921612883832,-1.079775579719826,0.8538423981224019,-2.7891443509183795,-1.18212734775993,-0.075156626256754,1,7218.0,6,634.0,37900.0,3100.0,80.0,3394599.0,5974.222482754452,5345.83,7.0
51331,107391,8.0,0,2.0,1.0,0.0,105,15.0,0.0,4000.0,45.63485734411418,4.128393933122057,0.3290341920207473,-0.7821632730254753,-0.1951357630969579,0.2560473508227052,0.1042004181162016,0.1010236704347331,0.0595541401830694,0.0521099532619323,-4.2487477371960365,1.0869359114350463,0.6876885822992577,0.0910127621917307,0.9931848712057808,1,2781.0,5,634.0,37900.0,3100.0,80.0,3394599.0,5974.222482754452,5345.83,10.0
91573,962,29.0,0,1.0,1.0,0.0,75,12.5,0.0,6500.0,45.05905267962255,4.157718352091459,0.9194679990418376,-1.013656768682024,0.7599437827711272,0.2386988871176629,0.1044153092278796,0.1265153572050885,0.0652845431527375,0.0782656605412451,-3.9368222172187566,1.7942990201447109,0.8839363842691338,1.1572320506144975,1.2427890522334244,1,2475.0,2,634.0,37900.0,3100.0,80.0,3394599.0,5974.222482754452,5345.83,7.0
3136,25620,24.0,10,3.0,0.0,1.0,116,15.0,0.0,5800.0,46.92103885922116,3.9109688540875815,0.3286271194432204,-0.8718230357232507,-0.4375507194807367,0.2647699264671084,0.1023563303984122,0.1057000187282984,0.0624509402028836,0.0471762427111247,-4.567475654226025,0.3028118867845701,1.345478717028903,-0.5597406953311744,-0.0480659617204135,1,3683.0,1,277.0,98000.0,5800.0,80.0,2810437.0,14855.702310105855,10109.49,11.0
100887,85713,211.0,18,2.0,0.0,0.0,115,15.0,1.0,299.0,41.59037677444036,-3.201642018372041,-1.8747230363597056,3.6932529839366266,1.419856548601456,0.2431939034938269,0.0,0.0716776148026158,0.0155570758947543,0.1165434666351485,3.9740836197933582,-0.2764719320995786,-4.397532796379035,0.5866225494783127,-1.0988769326729255,1,7042.0,1,17.0,8900.0,500.0,299.0,40947.0,3365.3457463754094,2274.83,11.0
146279,19851,66.0,9,4.0,0.0,0.0,107,15.0,0.0,2499.0,43.61099176648053,-3.0253481670918285,-2.0391807784135323,-0.3079666301840629,0.5675668446315629,0.262767632083066,3.776809768817947e-05,0.0,0.0651628782823381,0.0814220219342835,2.4776283844360827,-2.42392797456216,-1.0277073898119755,0.9281246060391154,-0.3022729767660306,1,5108.0,2,150.0,17000.0,1550.0,100.0,390552.0,3008.1864351227255,2586.44,10.0
18058,76039,0.0,0,0.0,1.0,0.0,140,15.0,MISSING,4000.0,45.08794955847122,-3.2085371864975905,-0.4861338828272021,-0.2207539465265301,-0.312646975282784,0.2603569607811176,0.000295873509935,0.1043640051785911,0.0690569764141267,0.0537876420925301,2.402110587404871,-2.1426627007021035,0.5521434894414251,-0.3740426235103119,0.7593559674376293,1,4158.0,2,634.0,37900.0,3100.0,80.0,3394599.0,5974.222482754452,5345.83,13.0
110,102077,101.0,6,3.0,0.0,1.0,203,6.0,0.0,16000.0,46.64196722691314,-3.1094628372659416,0.0407795313171489,-3.68410378544592,1.4705356685714868,0.2511346849891637,0.0009557781463796,0.0559762856147638,0.1184134336590383,0.1005059400320636,1.4078722094879272,-3.3783452983106432,3.6921471094657408,1.807533887596858,-1.5888593263961368,1,1711.0,,177.0,20750.0,1650.0,50.0,628211.0,4452.831329769173,3529.28,20.0
145893,38071,31.0,10,2.0,1.0,1.0,150,15.0,0.0,799.0,44.73007462667627,3.3830060420573766,-0.2515248396788782,2.6442492835752853,-0.9639804055236604,0.2611210507980881,0.0951531540227489,0.1435753453375908,0.0149558125512686,0.0404237008798914,-2.9433313784460853,1.6735446300992127,-2.10134672586932,-1.820611368690176,-0.8548546394921999,1,7250.0,6,277.0,98000.0,5800.0,80.0,2810437.0,14855.702310105855,10109.49,14.0
139315,84566,20.0,15,1.0,0.0,0.0,95,15.0,0.0,5200.0,45.22169727418079,-3.222957028360537,0.7930688384449907,-1.411494049744097,1.2404281318443284,0.2340918240316129,0.0004393451215646,0.1549710872879996,0.090443542268579,0.096018508782414,2.497654304131938,-1.5835156070610967,2.1093166540086483,1.054100095778141,-1.2676219924609415,1,2586.0,1,27.0,19450.0,9450.0,3470.0,265177.0,4742.28809711213,9470.61,9.0
